set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800,pct2 · tr1x1 · 4 ч · без выхода по стене,507,1.2075,-10.7578,11.9653,10,15,61.22025,129,39.9279,19.9172,20.0107,5,7,515.0699099999999,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50be,pct2 · tr1x1 · 4 ч · gone50be,785,2.3421,-7.7011,10.0432,11,15,183.85485,172,16.8521,5.6913,11.1608,6,7,289.85612000000003,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50bex,pct2 · tr1x1 · 4 ч · gone50bex,1005,-4.2644,-5.8508,1.5863,8,15,-428.57219999999995,208,8.5515,2.3059,6.2456,4,7,177.87120000000002,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90be,pct2 · tr1x1 · 4 ч · gone90be,701,0.3994,-8.5481,8.9474,12,15,27.99794,163,24.1516,9.4623,14.6892,6,7,393.67107999999996,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90bex,pct2 · tr1x1 · 4 ч · gone90bex,898,-3.1971,-6.2585,3.0614,9,15,-287.09957999999995,200,13.1422,5.6795,7.4626,5,7,262.844,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800,pct2 · tr1x1 · 2 ч · без выхода по стене,641,0.9015,-10.2285,11.13,10,15,57.78615,157,21.7858,10.2507,11.5351,5,7,342.03706,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50be,pct2 · tr1x1 · 2 ч · gone50be,862,0.8366,-7.3272,8.1637,11,15,72.11492000000001,191,4.4982,1.6986,2.7996,5,7,85.91561999999999,да
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50bex,pct2 · tr1x1 · 2 ч · gone50bex,1084,-4.1193,-6.0241,1.9049,10,15,-446.53212,222,-0.5745,-0.3974,-0.1771,4,7,-12.7539,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90be,pct2 · tr1x1 · 2 ч · gone90be,794,-1.4174,-8.1147,6.6974,12,15,-112.54156,182,10.4389,4.105,6.3339,6,7,189.98798000000002,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90bex,pct2 · tr1x1 · 2 ч · gone90bex,988,-3.232,-6.3565,3.1245,10,15,-319.32160000000005,215,4.0932,1.9385,2.1546,4,7,88.00380000000001,нет
